Название магазина,Дата и время,Долгота,Широта,Категория,Бренд,Номер карты,Количество товаров,Стоимость
Babochka,2024-03-19 19:52,30.300985,60.004935,Одежда для дома,La Perla,5536911961610447,12,6000
Дизель спот,2017-05-30 16:24,30.468788,59.960016,Шины и диски,Firestone,5486737849818814,12,9500
PisterGSM,2016-01-07 14:31,30.36603,59.932429,Накопители данных,Mushkin,5469478235644199,5,5500
GATE31,2015-12-16 13:04,30.309594,59.964426,Спортивная одежда,Adidas,5469478235644199,5,6500
VAG Club,2015-11-13 19:22,30.22647,59.996275,Электрооборудование,Bosch,5469478235644199,27,15000
Eurospar,2021-04-04 15:16,30.300629,59.96729,Товары для выпечки,Nestlé Toll House,5469478235644199,13,170
VAG Club,2020-06-21 21:08,30.22647,59.996275,Шины и диски,General Tire,5490006411107522,9,9000
Сатурн,2014-03-02 19:54,30.352088,59.996967,Керамическая плитка,Kerama Marazzi,5490006411107522,5,1500
М.Видео,2013-05-25 13:17,30.37881,59.82784,Настольные компьютеры,Corsair,5490006411107522,5,100000
Автотрейд,2016-04-15 13:34,30.382332,59.889032,Автомобильные аксессуары,BlackVue,5479016809689044,5,20000
Barleone,2023-10-25 14:48,30.293232,59.959192,Футболки и майки,Tommy Hilfiger,5479016809689044,41,4000
Мастеровой,2024-10-15 16:19,30.313991,59.926244,Лестницы и стремянки,ABRU,5479016809689044,41,10500
Афоня,2024-09-22 19:39,30.507137,59.9086,Системы канализации,Ostendorf,5479016809689044,10,12000
Автотрейд,2019-09-07 09:08,30.169871,59.815811,Подвеска и рулевое управление,Mevotech,5479016809689044,5,12500
Петрович,2016-04-24 15:12,30.354297,60.075893,Поливочные системы,Nelson,4023118209207784,5,9000
Лемана Про,2018-08-24 07:39,30.347462,60.066702,Отделочные материалы,Kreisel,4023118209207784,5,4400
StoreDima,2021-01-16 13:17,30.32422,59.929012,Мелкая бытовая техника,Bork,5484253930206484,5,25000
Авто Стори,2014-02-01 15:35,30.47283,59.885293,Автозвук и мультимедиа,Pioneer,5484253930206484,50,15000
PisterGSM,2020-03-17 14:00,30.36603,59.932429,Аудиооборудование,Samsung,5484253930206484,34,34000
М.Видео,2015-09-23 12:28,30.472608,59.742865,Системы безопасности,Axis Communications,5484253930206484,24,30000
М.Видео,2013-12-22 14:26,30.301431,60.004999,Планшеты,Apple,4797135983964791,38,80000
М.Видео,2021-10-07 20:13,30.445592,59.910635,Планшеты,Dragon Touch,4797135983964791,5,13000
Азбука вкуса,2019-06-25 10:38,30.314295,60.04879,Орехи и сухофрукты,Азбука Вкуса,4797135983964791,28,550
StoreDima,2016-09-17 16:00,30.32422,59.929012,Носимая электроника,Diesel,4797135983964791,5,25000
Авто Стори,2019-10-24 12:26,30.47283,59.885293,Автозвук и мультимедиа,Kenwood Excelon,4797135983964791,5,20000
Elny,2019-08-01 10:12,30.268161,59.849699,Одежда для работы,Zara,5484021532913111,35,7500
Перекрёсток,2012-02-02 10:56,30.371049,59.882592,Молочные продукты,Chudo,5484021532913111,38,85
VAG Club,2018-10-07 23:48,30.22647,59.996275,Системы охлаждения,Hastings,5484021532913111,13,10500
Лента,2013-12-13 05:34,30.356441,59.981211,Чай и кофе,Gevalia,5484021532913111,5,270
Ашан,2016-01-05 02:59,30.25689,59.990167,Соусы и приправы,Tabasco,5484021532913111,22,180
Пятёрочка,2019-02-11 14:54,30.115295,59.840563,Консервы,Green Ray,4279620083138437,29,120
Elny,2020-05-15 11:54,30.293474,59.960791,Свитера и кардиганы,Lacoste,4279620083138437,5,7000
PisterGSM,2012-05-19 09:57,30.36603,59.932429,Ноутбуки,Apple,4279620083138437,5,120000
Авто Стори,2015-07-14 23:19,30.47283,59.885293,Подвеска и рулевое управление,Febi,4279620083138437,5,10500
Сатурн,2020-08-02 16:36,29.892184,59.881107,Герметики и монтажная пена,Isover,6768932467186108,5,380
Лента,2020-06-02 12:34,30.083939,59.724489,Рыба и морепродукты,Рыбная деревня,5543869677931008,12,490
StoreDima,2024-12-28 09:02,30.32422,59.929012,Офисная техника,OKI,5543869677931008,5,30000
Лемана Про,2013-09-21 22:08,30.446878,59.912914,Садовый декор,Campania International,5543869677931008,41,30000
СтройХаус,2024-08-09 10:26,30.409452,60.075356,Напольные покрытия,Armstrong,5543869677931008,5,2000
Сатурн,2014-11-17 12:42,30.352088,59.996967,Садовая мебель,Talenti,5484291837278087,5,65000
PisterGSM,2024-01-05 16:30,30.36603,59.932429,Аудиооборудование,Beats,5479660064606624,16,30000
Азбука вкуса,2024-02-28 05:44,30.34879,59.94209,Безалкогольные напитки,Nestea,5479660064606624,11,80
Мастеровой,2023-12-20 17:05,30.314396,59.926407,Системы отопления,ACV,4245425684042693,21,110000
Дизель спот,2012-04-14 09:10,30.468788,59.960016,Автоинструменты и оборудование,Proto,4245425684042693,31,15000
Barleone,2018-08-22 15:26,30.293232,59.959192,Верхняя одежда,Ralph Lauren,4276116255652433,5,30000
М-Стерео,2022-09-14 20:00,30.367216,59.935317,Ноутбуки,Microsoft,4276116255652433,5,90000
Авто Стори,2020-06-16 14:51,30.385865,59.892103,Электрооборудование,Beru,4274188057140913,16,7500
СтройХаус,2013-05-27 17:48,30.249342,60.034898,Садовая техника,Craftsman,4274188057140913,26,55000
ТехноНИКОЛЬ,2019-10-19 14:56,30.432281,59.897979,Строительные материалы,Knauf,4274188057140913,5,3000
Дон Телефон,2015-11-08 11:04,30.321769,59.927084,Аксессуары для мобильных устройств,Spigen,4274188057140913,5,4500
Телемаркет24,2023-09-26 17:08,30.272169,60.002172,Мониторы,Panasonic,5469335584253145,5,30000
Авто Стори,2015-07-10 18:58,30.385865,59.892103,Трансмиссии,Denso,5469335584253145,28,125000
VAG Club,2013-04-05 19:22,30.22647,59.996275,Электрооборудование,NGK,5469335584253145,5,9000
Дон Телефон,2014-03-03 10:55,30.321769,59.927084,Автоэлектроника,Kicker,5469335584253145,6,15000
VAG Club,2023-08-21 13:29,30.444139,60.000501,Автомобильные масла и жидкости,Shell,5469335584253145,25,2600
Лента,2018-07-17 09:18,30.470295,59.951686,Молочные продукты,Selo Zelenoe,5104105098454457,39,80
GATE31,2019-04-27 12:25,30.344614,59.930422,Купальники и пляжная одежда,Roxy,4082130387762422,5,4800
Elny,2017-03-15 20:00,30.409664,59.928271,Свитера и кардиганы,Mango,4023127918050432,21,4500
Азбука вкуса,2021-01-28 21:25,30.314295,60.04879,Безалкогольные напитки,Ocean Spray,4627766121745900,13,190
Пятёрочка,2020-04-16 11:33,30.340828,59.936759,Продукты для спортсменов,BSN,4245420831381741,22,2800
Дон Телефон,2016-06-29 13:03,30.320953,59.927913,Компьютерные периферийные устройства,Gigabyte,5422553652049079,40,16000
Elny,2023-08-09 13:12,30.362365,59.933929,Перчатки и шарфы,Kate Spade,5422553652049079,5,12000
Автотрейд,2022-12-11 20:01,30.169871,59.815811,Автомобильные аптечки и аварийные наборы,Омега,5422553652049079,15,1300
Автотрейд,2014-03-10 23:16,30.382332,59.889032,Электрооборудование,Osram,5422553652049079,5,7000
Максидом,2021-09-09 10:43,30.386777,60.004162,Гипсокартон и комплектующие,Austrotherm,4245437052397826,5,420
Мастеровой,2016-10-14 14:04,30.314396,59.926407,Вентиляция и кондиционирование,Electrolux,4042739945730227,5,95000
Дизель спот,2014-02-27 19:07,30.468788,59.960016,Двигатели и компоненты,SKF,5401543500561442,5,85000
Barleone,2022-06-05 19:43,30.293232,59.959192,Одежда для особых случаев,Zuhair Murad,5401543500561442,26,340000
StoreDima,2024-05-15 09:34,30.32422,59.929012,Электронные книги,Onyx Boox,5401543500561442,37,15000
Лемана Про,2020-10-27 22:37,30.300415,60.004457,Садовые постройки,Suncast,5401543500561442,5,42000
Афоня,2019-01-04 23:04,30.349203,60.05041,Сантехника,Jacob Delafon,5401543500561442,26,17000
Афоня,2019-07-07 14:03,30.345783,60.093526,Герметики и монтажная пена,Makroflex,5123035569361258,5,320
VAG Club,2019-06-08 17:27,30.444139,60.000501,Автозвук и мультимедиа,Boss Audio,5123035569361258,20,10000
Eurospar,2019-01-23 09:22,30.34903,59.945452,Товары для выпечки,Dr. Oetker,5123035569361258,5,150
Porivay Suit,2016-07-16 09:41,30.356776,59.915184,Одежда для активного отдыха,Arc'teryx,5436207376256800,47,20000
Eurospar,2023-06-02 11:33,30.317453,59.977141,Молочные продукты,Valio,5468928660070241,23,95
Магнит,2013-12-18 09:57,30.270109,59.887799,Сладости и десерты,Godiva,5468928660070241,5,600
СтройХаус,2012-05-10 16:27,30.249159,59.987033,Кровельные материалы,Tegola,5486550611448228,49,2100
VAG Club,2019-04-14 15:17,30.444139,60.000501,Автомобильные аптечки и аварийные наборы,Омега,5486550611448228,5,1300
Азбука вкуса,2017-02-06 19:25,30.225444,59.942178,Бакалея,Mivina,5486550611448228,5,100
СтройХаус,2019-08-29 14:12,30.436413,59.946501,Садовый инвентарь,Einhell,5486550611448228,5,3600
VAG Club,2022-11-18 15:56,30.22647,59.996275,Автомобильные лампы и освещение,Sylvania,5486550611448228,31,1400
Мастеровой,2021-01-31 08:04,30.314396,59.926407,Мебель для ванной,Laufen,5419171705706557,18,28000
Пятёрочка,2019-08-06 03:37,30.367992,60.013444,Бакалея,Maggi,5419171705706557,32,170
VAG Club,2014-05-13 17:34,30.22647,59.996275,Автомобильные масла и жидкости,Mobil,5419171705706557,5,2700
Лента,2019-03-16 12:05,30.39892,59.798683,Рыба и морепродукты,Рыбный берег,5419171705706557,18,540
VAG Club,2018-08-15 08:17,30.444139,60.000501,Тормозные системы,Wilwood,4760367496563098,29,15500
Лемана Про,2018-06-12 12:40,30.160162,59.805373,Герметики и монтажная пена,Moment,4245422600446026,5,340
Babochka,2023-04-15 23:48,30.379816,59.925405,Джинсы и брюки,J.Crew,4245422600446026,6,7500
Автотрейд,2022-11-22 20:11,30.235785,59.992793,Тормозные системы,Brembo,4245422600446026,21,15000
М-Стерео,2015-05-22 11:37,30.367216,59.935317,Фото- и видеокамеры,Panasonic,4245422600446026,25,50000
Лента,2024-07-15 14:53,30.272381,60.074949,Хлеб и выпечка,Хлебозавод №12,4483444570808018,7,55
Авто Стори,2024-06-15 19:32,30.385865,59.892103,Системы охлаждения,Stant,4483444570808018,5,10000
Перекрёсток,2017-12-05 10:45,30.317538,59.974895,Супы и бульоны,365 Everyday Value,4483444570808018,37,150
Афоня,2020-08-02 10:35,30.324986,60.041133,Гипсокартон и комплектующие,Rigips,4483444570808018,37,400
Лента,2014-04-08 14:16,30.281714,59.89301,Сладости и десерты,Nestle,5199988773643147,5,300
Магнит,2020-03-24 10:02,30.367525,59.986762,Органические продукты,Bob's Red Mill,5199988773643147,5,180
Авто Стори,2023-04-06 09:29,30.47283,59.885293,Автозвук и мультимедиа,JBL,5199988773643147,5,16000
DreamWhite,2020-05-27 08:41,30.332892,59.792867,Купальники и пляжная одежда,Seafolly,5547070749124391,5,5200
Азбука вкуса,2016-06-20 13:11,30.314295,60.04879,Экологически чистые продукты,Alter Eco,4023113683692367,7,260
Авто Стори,2016-05-28 14:06,30.47283,59.885293,Электрооборудование,Pierburg,4023113683692367,5,11000
М-Стерео,2016-02-24 15:46,30.355453,59.938372,Батарейки и зарядные устройства,Tenergy,4023113683692367,15,400
Ситилинк,2015-11-02 10:37,30.318437,59.787778,Принтеры и сканеры,Toshiba,4023113683692367,22,26000
СтройХаус,2018-09-10 18:16,30.44978,60.036823,Системы безопасности,Securitas,4023113683692367,13,33000
Магнит,2018-10-11 11:56,30.315303,59.925888,Бакалея,Uncle Ben's,5159005011230039,12,220
Лента,2012-07-10 15:48,30.320981,59.80853,Замороженные продукты,Gardein,5159005011230039,18,550
ТехноНИКОЛЬ,2021-02-08 07:25,30.282577,60.073813,Сантехника,Hansgrohe,5159005011230039,5,18000
М.Видео,2012-12-01 08:55,30.37881,59.82784,Системы безопасности,Dahua,5159005011230039,5,24000
Barleone,2016-03-29 21:07,30.293232,59.959192,Головные уборы,Uniqlo,4245439813554092,26,1700
Дикси,2013-06-11 14:10,30.307193,59.957346,Здоровое питание,Just Natural,4245439813554092,30,250
DNS,2017-10-18 10:45,30.234808,59.949074,Дроны и робототехника,DJI,5484169954104920,31,120000
VAG Club,2014-04-06 16:11,30.22647,59.996275,Топливные системы,Hitachi,6768000960017200,82,11500
DreamWhite,2014-08-19 17:43,30.332892,59.792867,Спортивные костюмы,Mizuno,6768000960017200,25,8500
М.Видео,2015-11-14 10:07,30.50394,59.830831,3D-принтеры и аксессуары,LulzBot,6768000960017200,34,150000
Babochka,2017-02-20 21:54,30.329209,59.793891,Женская одежда,GAP,4279861896654135,5,3100
М-Стерео,2019-08-30 10:16,30.355453,59.938372,Ноутбуки,Microsoft,4279861896654135,5,90000
Магнит,2016-10-13 12:04,30.315303,59.925888,Консервы,Heinz,4188692566057662,28,130
DreamWhite,2015-05-24 13:56,30.370335,59.938003,Одежда для дома,Primark,5262803102620742,15,1200
Дизель спот,2022-02-28 12:59,30.235619,59.993021,Двигатели и компоненты,NTN,5262803102620742,48,75000
Дизель спот,2012-10-01 11:05,30.235619,59.993021,Тормозные системы,Power Stop,5262803102620742,5,11500
DreamWhite,2019-05-17 16:08,30.304204,59.960815,Домашняя одежда,Adidas,5262803102620742,5,2700
Максидом,2024-07-27 21:23,30.386777,60.004162,Садовая мебель,Higold,5262803102620742,18,50000
Babochka,2022-05-08 21:15,30.336152,59.802006,Футболки и майки,Fila,5458077340450545,6,2600
GATE31,2015-05-30 11:40,30.319385,59.930106,Джинсы и брюки,Calvin Klein,5458077340450545,8,7000
GATE31,2020-12-07 11:26,30.346968,59.918223,Одежда для активного отдыха,Outdoor Research,5458077340450545,31,14000
Азбука вкуса,2016-03-02 17:50,30.34879,59.94209,Масла и жиры,Маслозавод ЭФКО,4021773578442033,5,130
ТехноНИКОЛЬ,2020-03-02 14:35,30.433004,59.898045,Освещение,Lithonia Lighting,4021773578442033,5,1600
Porivay Suit,2025-01-28 18:30,30.356776,59.915184,Домашняя одежда,Puma,5443806939152469,23,2600
Авто Стори,2017-10-25 17:57,30.47283,59.885293,Подвеска и рулевое управление,Mevotech,5443806939152469,27,12500
Дизель спот,2014-12-29 23:04,30.444036,59.950531,Системы охлаждения,Valeo,5443806939152469,19,14000
Перекрёсток,2014-02-24 07:30,30.317538,59.974895,Орехи и сухофрукты,Greenfield,5443806939152469,5,510
Автотрейд,2013-04-13 16:36,30.382332,59.889032,Трансмиссии,ACDelco,5443806939152469,54,110000
GATE31,2019-01-25 15:36,30.319385,59.930106,Белье и ночные сорочки,Cosabella,5483879964538102,11,5000
Пятёрочка,2012-03-16 16:28,30.332196,59.984938,Продукты для спортсменов,Nutrex Research,5483879964538102,5,2500
GATE31,2019-08-15 22:30,30.309594,59.964426,Мужская одежда,Gucci,5488375797043108,48,20000
PisterGSM,2014-03-09 09:16,30.36603,59.932429,Аудиооборудование,JBL,5488375797043108,11,30000
М.Видео,2017-11-26 15:57,30.23089,59.938396,Системы безопасности,Swann,5488375797043108,5,18000
Дон Телефон,2013-02-15 16:59,30.321769,59.927084,Телефоны и оборудование для стационарной связи,Mitel,5488375797043108,12,8000
Петрович,2021-08-19 10:49,30.517181,59.888039,Фасадные материалы,Kingspan,5488375797043108,33,1600
Мастеровой,2017-08-26 16:08,30.314322,59.926366,Системы безопасности,Lorex,5469255193903172,5,31000
GATE31,2019-02-28 14:12,30.344614,59.930422,Часы и украшения,OPPO,5469255193903172,5,30000
Афоня,2016-11-20 11:08,30.507137,59.9086,Изоляционные материалы,Penoplex,5469255193903172,5,1000
Телемаркет24,2014-06-06 12:38,30.424798,60.048503,Кабели и адаптеры,Tripp Lite,4245427179799485,5,1700
СтройХаус,2015-06-05 18:17,30.482775,60.002994,Системы безопасности,Pelco,5458076087364818,15,37000
GATE31,2017-10-17 12:07,30.319385,59.930106,Одежда для дома,Primark,5458076087364818,8,1200
Авто Стори,2017-11-27 16:42,30.385865,59.892103,Автомобильные масла и жидкости,Petronas,5458076087364818,7,2600
restore,2018-01-06 19:11,30.306058,59.962236,Телевизоры,Element,5209549374039681,6,22000
Ашан,2012-06-03 21:28,30.341063,59.913898,Товары для выпечки,Betty Crocker,5209549374039681,30,120
GATE31,2024-10-26 19:13,30.309594,59.964426,Одежда для активного отдыха,La Sportiva,5209549374039681,34,16000
OBI,2019-12-25 10:21,30.147238,59.993572,Садовый декор,Garden Treasures,5209549374039681,5,15000
Автотрейд,2018-09-22 08:27,30.235785,59.992793,Автоинструменты и оборудование,Husky,4023127343260208,18,11000
VAG Club,2018-05-09 08:01,30.444139,60.000501,Автомобильные масла и жидкости,Petronas,4023127343260208,5,2600
РеалЪ,2021-03-08 08:39,30.281212,59.850169,Алкогольные напитки,Suntory,4023127343260208,5,2500
Телемаркет24,2016-11-11 12:22,30.369261,59.883602,Устройства виртуальной и дополненной реальности,Oculus,5123030453094502,54,35000
Сатурн,2024-02-08 08:15,30.392081,59.889243,Изоляционные материалы,Saint-Gobain,5123030453094502,5,1800
Дон Телефон,2012-08-08 16:35,30.320953,59.927913,Мелкая бытовая техника,Moulinex,5123030453094502,28,13000
DreamWhite,2018-07-10 13:08,30.370335,59.938003,Головные уборы,Under Armour,5123030453094502,22,2300
VAG Club,2019-08-18 09:51,30.444139,60.000501,Системы охлаждения,AISIN,5484306225877562,58,13500
Максидом,2021-01-07 12:01,30.386777,60.004162,Декоративные элементы,IKEA,5484306225877562,19,1500
М.Видео,2020-07-30 15:29,30.50394,59.830831,Принтеры и сканеры,Panasonic,5123030646029380,5,21000
Elny,2020-04-24 20:23,30.315904,59.926132,Перчатки и шарфы,Chanel,5123030646029380,5,28000
Дикси,2013-04-17 18:11,30.289031,59.905105,Соусы и приправы,French's,4406222126844513,5,130
Ситилинк,2017-08-26 14:01,30.3502,59.928002,Смартфоны и мобильные телефоны,Honor,4406222126844513,5,30000
Петрович,2020-07-24 20:52,30.507151,59.889037,Краски и лаки,Lakra,4406222126844513,5,1700
РеалЪ,2013-08-06 12:00,30.231025,59.84414,Сладости и десерты,Chupa Chups,4406222126844513,5,150
VAG Club,2012-06-17 14:51,30.444139,60.000501,Трансмиссии,ACDelco,5342459339152093,48,110000
ТехноНИКОЛЬ,2022-11-21 16:39,30.432281,59.897979,Вентиляция и кондиционирование,Kentatsu,5342459339152093,5,80000
GATE31,2021-12-31 22:48,30.345298,59.930685,Одежда для работы,Massimo Dutti,4023122150321674,5,9000
Ашан,2016-04-07 11:26,30.457308,59.778,Фрукты и овощи,Melissa's Produce,4023122150321674,31,300
Eurospar,2024-07-14 14:09,30.34903,59.945452,Рыба и морепродукты,Морской котик,4023122150321674,5,510
VAG Club,2021-04-16 09:10,30.22647,59.996275,Электрооборудование,Pierburg,4023122150321674,11,11000
Автотрейд,2019-06-26 15:01,30.382332,59.889032,Автомобильные аксессуары,K&N,5183368914871773,14,4000
Eurospar,2016-01-05 07:33,30.317453,59.977141,Замороженные продукты,Eggo,5183368914871773,31,250
Eurospar,2017-05-03 19:56,30.312662,60.052691,Детское питание,Heinz,5183368914871773,31,130
VAG Club,2018-01-02 10:05,30.444139,60.000501,Подвеска и рулевое управление,Lemforder,5183368914871773,15,14000
Афоня,2019-10-20 12:50,30.507137,59.9086,Отделочные материалы,KNAUF Insulation,5484984447571647,5,5500
Перекрёсток,2017-03-19 08:34,30.371049,59.882592,Экологически чистые продукты,Hipp,5484984447571647,5,250
Eurospar,2024-09-20 13:41,30.284023,59.944569,Супы и бульоны,Healthy Choice,5484984447571647,5,230
Максидом,2019-02-06 19:07,30.38423,60.002149,Системы отопления,Protherm,5262807738011579,5,85000
Мастеровой,2023-03-01 18:59,30.314396,59.926407,Системы безопасности,Avigilon,5262807738011579,17,46000
Ашан,2012-09-12 03:48,30.341063,59.913898,Масла и жиры,Кубанское Масло,5262807738011579,18,130
Мастеровой,2023-08-17 10:07,30.314322,59.926366,Системы безопасности,Panasonic,5262807738011579,5,38000
Porivay Suit,2022-07-24 13:15,30.356776,59.915184,Одежда больших размеров,Kiyonna,5262807738011579,5,5200
Автотрейд,2013-02-16 14:59,30.382569,59.889669,Автомобильные аптечки и аварийные наборы,Дорожная карта,4314173334742508,19,2400
Максидом,2018-11-23 20:02,30.386777,60.004162,Напольные покрытия,Balterio,4314173334742508,5,1750
Авто Стори,2024-06-21 15:44,30.47283,59.885293,Автомобильные аптечки и аварийные наборы,CarLife,6768035818030388,5,2700
Дикси,2021-04-21 16:13,30.33643,59.936924,Напитки,Lipton,6768035818030388,5,70
Сатурн,2021-01-20 10:21,30.355106,59.978333,Поливочные системы,Yard Butler,6768035818030388,5,9500
Авто Стори,2016-08-09 09:10,30.385865,59.892103,Тормозные системы,Wagner,6768035818030388,42,9500
Дикси,2012-03-11 10:13,30.312952,59.90159,Крупы и макароны,Паста Zara,6768035818030388,27,150
Максидом,2017-03-07 09:12,30.36521,59.811704,Напольные покрытия,IVC,5304455685015946,5,1700
Петрович,2015-12-16 18:01,30.165419,59.809854,Электрика,Feron,5304455685015946,8,2200
DreamWhite,2024-10-29 14:19,30.304204,59.960815,Джинсы и брюки,Ralph Lauren,5304455685015946,62,9500
Porivay Suit,2015-09-28 20:11,30.348972,59.914947,Свитера и кардиганы,Uniqlo,4274773820247566,5,3500
Телемаркет24,2023-12-20 16:30,30.438988,59.933292,Смартфоны и мобильные телефоны,Xiaomi,4274773820247566,54,30000
Porivay Suit,2014-07-13 23:29,30.348972,59.914947,Одежда для особых случаев,Oscar de la Renta,4274773820247566,28,310000
StoreDima,2021-04-28 16:15,30.32422,59.929012,Телевизоры,Element,4274773820247566,48,22000
Eurospar,2012-10-06 18:39,30.300629,59.96729,Безалкогольные напитки,Dr Pepper,4279013394866706,26,110
Автотрейд,2014-10-03 14:45,30.235785,59.992793,Автосигнализации и охранные системы,Steel Mate,4279013394866706,5,20000
Петрович,2013-09-02 09:10,30.343252,60.062117,Керамическая плитка,Ape Ceramica,4279013394866706,49,2000
Автотрейд,2022-12-29 23:48,30.382569,59.889669,Топливные системы,Magna,4279013394866706,5,9500
StoreDima,2017-01-31 16:05,30.32422,59.929012,Накопители данных,Corsair,4279013394866706,48,6500
Телемаркет24,2019-09-30 12:24,30.272169,60.002172,Сетевые сервисы и подписки,Atlassian,4279748498281434,21,7000
Авто Стори,2012-01-30 22:42,30.47283,59.885293,Автозвук и мультимедиа,Focal,5228288506113411,12,18000
OBI,2021-02-06 13:46,30.518781,59.894747,Изоляционные материалы,Isover,5228288506113411,31,1500
Дон Телефон,2015-11-16 13:07,30.321769,59.927084,Смартфоны и мобильные телефоны,Ulefone,5228288506113411,5,13000
Лемана Про,2014-10-25 10:25,30.347462,60.066702,Напольные покрытия,Kaindl,5228288506113411,5,1450
Лемана Про,2023-01-05 10:00,30.236354,60.038157,Сантехника,Kludi,5484121465887147,28,17000
OBI,2021-03-05 09:22,30.349319,59.871277,Декоративные элементы,Axton,4714872856654122,5,2900
StoreDima,2012-06-28 10:29,30.32422,59.929012,Кабели и адаптеры,Belkin,4714872856654122,5,2000
Лента,2019-05-05 12:12,30.334796,59.976801,Хлеб и выпечка,Каравай,4714872856654122,23,55
DNS,2014-07-18 19:52,30.254699,59.988516,Игровые консоли и аксессуары,SteelSeries,4714872856654122,5,12000
Лента,2018-09-15 14:12,30.377945,59.979602,Здоровое питание,Pulsin,4714872856654122,5,300
РеалЪ,2019-05-03 11:32,30.318833,59.906922,Органические продукты,Nature's Promise,4245435002980904,5,150
StoreDima,2019-03-21 10:14,30.32422,59.929012,Батарейки и зарядные устройства,Tenergy,4279373904109170,30,400
VAG Club,2022-12-31 15:34,30.22647,59.996275,Тормозные системы,StopTech,4279373904109170,16,14500
Автотрейд,2021-04-14 20:58,30.382569,59.889669,Автомобильные лампы и освещение,Lucas,4279373904109170,63,1400
Авто Стори,2016-02-01 12:12,30.47283,59.885293,Автоинструменты и оборудование,GearWrench,4279373904109170,6,13000
Перекрёсток,2018-03-26 02:20,30.219771,59.985776,Продукты для спортсменов,Dymatize,4279373904109170,5,2700
СтройХаус,2016-04-20 10:20,30.249159,59.987033,Напольные покрытия,Kronospan,5483871306286175,5,1400
PisterGSM,2024-11-29 11:39,30.36603,59.932429,Батарейки и зарядные устройства,Mophie,5483871306286175,5,650
DreamWhite,2014-12-30 11:56,30.332892,59.792867,Костюмы и пиджаки,Hugo Boss,5483871306286175,5,60000
СтройХаус,2023-04-01 09:35,30.436413,59.946501,Освещение,Feit Electric,4279746419922288,30,1000
PisterGSM,2022-07-22 14:31,30.36603,59.932429,Дроны и робототехника,Fat Shark,4279746419922288,68,45000
restore,2014-05-14 11:18,30.308129,59.963536,Электронные книги,InkBook,4279746419922288,5,5500
Авто Стори,2017-12-25 18:47,30.47283,59.885293,Шины и диски,Dunlop,4279746419922288,16,9500
