Название магазина,Дата и время,Долгота,Широта,Категория,Бренд,Номер карты,Количество товаров,Стоимость
GATE31,2014-06-23 23:22,30.345298,59.930685,Одежда для беременных,Old Navy Maternity,4274490363408754,5,3400
СтройХаус,2016-07-08 17:37,30.482775,60.002994,Лестницы и стремянки,Krause,4274322456372425,5,12000
Barleone,2015-07-30 17:50,30.293232,59.959192,Часы и украшения,Ulefone,4277148374217356,18,12000
Ашан,2014-10-06 16:49,30.514683,59.893525,Снеки и чипсы,Terra,4277148374217356,56,240
М-Стерео,2012-06-06 12:21,30.355453,59.938372,Устройства умного дома,Bosch,4277148374217356,5,50000
Лемана Про,2024-02-14 08:45,30.272814,60.073418,Крепеж и метизы,Fischer,5123036016237704,5,4000
Barleone,2023-09-09 21:57,30.293232,59.959192,Домашняя одежда,Primark,5123036016237704,9,1600
Дизель спот,2021-06-09 18:43,30.468788,59.960016,Двигатели и компоненты,Delphi,5123036016237704,33,95000
VAG Club,2021-04-19 08:45,30.444139,60.000501,Автозвук и мультимедиа,JVC,5189018697119264,25,13000
Лента,2023-11-05 15:18,30.236281,59.998618,Консервы,Микоян,5189018697119264,5,85
Пятёрочка,2023-09-29 03:40,30.3785,59.845511,Экологически чистые продукты,Dr. Hauschka,5189018697119264,24,320
GATE31,2018-05-15 11:39,30.309594,59.964426,Эко-одежда,Toad&Co,5189018697119264,5,8500
Сатурн,2021-12-08 13:50,30.334153,59.946841,Сантехника,Jika,5189018697119264,28,14000
М.Видео,2022-08-04 14:08,30.317233,59.881219,Планшеты,Dragon Touch,5479987810567373,20,13000
СтройХаус,2015-10-25 19:25,30.409452,60.075356,Крепеж и метизы,TOX,5479987810567373,5,3200
VAG Club,2016-07-24 15:41,30.444139,60.000501,Автомобильные аптечки и аварийные наборы,Пилот,5479987810567373,5,1800
Максидом,2024-01-06 12:10,30.36521,59.811704,Освещение,Progress Lighting,4314171675897886,22,1750
Дикси,2021-11-06 03:50,30.351978,59.963083,Сладости и десерты,Russell Stover,4314171675897886,5,320
Авто Стори,2012-09-20 19:17,30.47283,59.885293,Двигатели и компоненты,TRW,4314171675897886,29,85000
Авто Стори,2016-07-15 16:50,30.47283,59.885293,Тормозные системы,Meyle,5160771116401688,5,9000
Петрович,2017-12-28 17:15,30.507151,59.889037,Краски и лаки,Feidal,5160771116401688,10,2000
Азбука вкуса,2023-10-20 13:56,30.314295,60.04879,Рыба и морепродукты,Рыбный день,5160771116401688,29,460
Babochka,2019-12-14 14:38,30.328896,59.793756,Головные уборы,Columbia,5488377111105520,5,2600
Петрович,2013-12-18 21:50,30.23458,59.996405,Инструменты и оборудование,Black & Decker,5488377111105520,18,15000
Elny,2012-11-29 17:19,30.362365,59.933929,Одежда для активного отдыха,The North Face,5488377111105520,9,15000
VAG Club,2023-03-24 12:39,30.444139,60.000501,Подвеска и рулевое управление,Monroe,5488377111105520,19,11000
Мастеровой,2021-05-11 17:47,30.314396,59.926407,Сантехника,Kaldewei,5488377111105520,5,23000
GATE31,2016-10-10 13:56,30.354525,59.98708,Белье и ночные сорочки,Calvin Klein,4261133157026128,29,4000
Сатурн,2025-01-12 12:38,30.334153,59.946841,Фасадные материалы,Weber,4261133157026128,5,1250
Ашан,2024-08-01 22:08,30.341063,59.913898,Детское питание,Similac,4261133157026128,12,175
restore,2015-07-07 22:11,30.308129,59.963536,Дроны и робототехника,RoboLink,4279028842227326,5,30000
Авто Стори,2013-09-28 14:01,30.385865,59.892103,Системы охлаждения,Mopar,4279028842227326,22,14500
РеалЪ,2012-10-27 12:35,30.269682,59.972527,Напитки,Evian,4279028842227326,5,100
Магнит,2017-06-16 20:59,29.914703,59.877579,Безалкогольные напитки,Mountain Dew,4279028842227326,5,100
Перекрёсток,2015-06-11 10:02,30.340344,60.072069,Алкогольные напитки,Tanqueray,5124264773765578,5,1800
StoreDima,2021-09-29 10:39,30.32422,59.929012,Носимая электроника,Amazfit,5124264773765578,12,18000
СтройХаус,2019-04-12 21:20,30.249159,59.987033,Напольные покрытия,Unilin,5104107057908319,5,1600
VAG Club,2016-02-11 23:40,30.22647,59.996275,Шины и диски,Avon,5104107057908319,24,9000
DNS,2015-02-09 13:40,30.347812,59.915074,Компьютерные периферийные устройства,Plantronics,4274141896952278,5,15000
Eurospar,2019-05-31 18:48,30.284029,59.944536,Снеки и чипсы,Lay's,5488370883621765,5,150
Ашан,2019-04-10 18:25,30.350265,59.868921,Замороженные продукты,Klondike,5488370883621765,5,300
ТехноНИКОЛЬ,2012-04-30 11:49,30.432281,59.897979,Системы водоснабжения,Sanha,5488370883621765,8,13000
Лемана Про,2020-09-09 23:46,30.445943,59.911149,Системы безопасности,Honeywell,5211246535292741,5,40000
Автотрейд,2019-12-06 13:14,30.382332,59.889032,Автомобильные лампы и освещение,Ring Automotive,5211246535292741,5,1300
Авто Стори,2017-12-04 21:02,30.385865,59.892103,Автомобильные масла и жидкости,Motul,5211246535292741,19,3000
Магнит,2019-08-26 12:18,30.26396,59.90816,Рыба и морепродукты,Морская жемчужина,5211246535292741,38,650
OBI,2023-11-14 17:25,30.382358,60.089826,Инструменты и оборудование,Dremel,5211246535292741,5,12000
Дизель спот,2017-06-13 20:34,30.468788,59.960016,Автомобильные масла и жидкости,Castrol,5488372412304180,40,2500
Ашан,2019-03-19 15:41,30.25689,59.990167,Органические продукты,Amy's Kitchen,5488372412304180,59,200
РеалЪ,2016-09-12 15:53,30.460402,59.929141,Здоровое питание,Just Natural,5488372412304180,29,250
Дизель спот,2022-03-11 16:35,30.444036,59.950531,Тормозные системы,TRW,5488372412304180,5,10000
Barleone,2017-01-30 13:21,30.293232,59.959192,Верхняя одежда,Adidas,5488372412304180,5,14000
Телемаркет24,2015-11-07 16:41,30.205425,59.989928,Игровые консоли и аксессуары,Nintendo,5543869002984021,22,35000
Porivay Suit,2015-09-01 11:48,30.348972,59.914947,Перчатки и шарфы,Versace,5497155922631455,10,21000
Лента,2015-05-20 04:05,30.39892,59.798683,Товары для выпечки,Bob's Red Mill,4627767503048239,33,160
Максидом,2012-05-29 15:52,30.38423,60.002149,Инструменты и оборудование,Craftsman,4627792454566113,5,16000
М.Видео,2016-07-01 20:33,30.206292,59.990749,Офисная техника,Lenovo,5209541201216171,20,31000
Дизель спот,2024-07-28 10:25,30.235619,59.993021,Тормозные системы,StopTech,5469304388019668,29,14500
VAG Club,2019-11-14 13:46,30.22647,59.996275,Автозвук и мультимедиа,Cerwin-Vega,5469304388019668,11,11000
Авто Стори,2013-04-29 11:32,30.385865,59.892103,Топливные системы,Beck/Arnley,5469304388019668,5,9000
Авто Стори,2018-10-03 17:02,30.47283,59.885293,Трансмиссии,Magna,5469304388019668,5,125000
Лемана Про,2017-03-15 20:24,30.160162,59.805373,Керамическая плитка,Imola,5469428710925611,10,2000
Петрович,2012-04-04 20:56,30.156532,59.585724,Поливочные системы,Melnor,5469428710925611,5,9500
ТехноНИКОЛЬ,2015-11-15 17:01,30.526859,59.620811,Декоративные элементы,Henkel,5469428710925611,20,2800
Лемана Про,2021-12-13 11:11,30.09623,59.851937,Напольные покрытия,Forbo,5104797922220072,14,2100
Дикси,2015-12-24 15:18,30.321855,59.942954,Диетические продукты,Quest Nutrition,5104797922220072,24,1700
Barleone,2013-02-26 23:10,30.293232,59.959192,Спортивная одежда,Reebok,5104797922220072,5,5500
VAG Club,2016-03-16 09:27,30.22647,59.996275,Двигатели и компоненты,Siemens VDO,5104797922220072,35,125000
Максидом,2019-06-26 14:39,30.38423,60.002149,Инструменты и оборудование,Snap-on,4274228678836296,5,27000
Barleone,2018-08-23 19:54,30.293232,59.959192,Рубашки и блузы,Esprit,4274228678836296,31,2500
VAG Club,2014-05-06 11:31,30.22647,59.996275,Автомобильные аптечки и аварийные наборы,Автостоп,4023124940382977,23,1500
Магнит,2016-12-12 08:01,30.333781,59.876334,Продукты для диабетиков,Extend Nutrition,5585189839744841,5,950
Eurospar,2021-09-27 22:38,30.334406,59.935163,Органические продукты,Simply Organic,5585189839744841,41,140
Автотрейд,2015-02-17 13:11,30.382569,59.889669,Подвеска и рулевое управление,Lemforder,5585189839744841,5,14000
Телемаркет24,2016-09-09 22:02,30.473981,59.946175,Программное обеспечение,Red Hat,5585189839744841,5,100000
Barleone,2022-03-31 11:35,30.293232,59.959192,Одежда для работы,J. Jill,4276222547280544,25,7500
Barleone,2022-08-24 23:52,30.293232,59.959192,Футболки и майки,New Balance,4276222547280544,5,2700
DreamWhite,2016-09-07 17:34,30.359178,59.938404,Перчатки и шарфы,Louis Vuitton,4276222547280544,33,27000
Elny,2015-09-29 14:20,30.362365,59.933929,Купальники и пляжная одежда,H&M,4276222547280544,19,2500
СтройХаус,2020-11-19 22:58,30.482775,60.002994,Мебель для ванной,Roca,5479722457656432,16,25000
Лемана Про,2015-08-13 10:06,30.160162,59.805373,Системы канализации,Rehau,5479722457656432,5,15000
Дон Телефон,2012-06-04 22:49,30.320953,59.927913,Игровые консоли и аксессуары,Corsair,4023119955938033,5,13000
Дизель спот,2020-05-14 17:46,30.235619,59.993021,Автосигнализации и охранные системы,Magnum,4279562355363473,15,13000
Elny,2020-11-13 21:49,30.359647,59.947369,Верхняя одежда,Canada Goose,4279562355363473,13,60000
Porivay Suit,2018-04-02 08:20,30.348972,59.914947,Мужская одежда,Versace,4268033007279140,5,21000
Лемана Про,2024-12-17 12:55,30.179781,59.842972,Мебель для ванной,Grohe,4670584365175003,19,32000
VAG Club,2021-07-11 23:12,30.22647,59.996275,Подвеска и рулевое управление,ACDelco,4670584365175003,12,11000
VAG Club,2024-10-03 16:20,30.22647,59.996275,Автозвук и мультимедиа,Alpine,4670584365175003,5,17000
Автотрейд,2021-02-26 13:29,30.169871,59.815811,Электрооборудование,Champion,4670584365175003,25,8000
VAG Club,2012-10-18 18:18,30.22647,59.996275,Автозвук и мультимедиа,Hertz,4023127735202626,36,17000
Дикси,2023-12-16 20:43,30.297767,59.964907,Хлеб и выпечка,Каравай,4023127735202626,5,55
РеалЪ,2014-02-18 20:22,30.395134,59.739688,Мясо и птица,Мясницкий ряд,4245447235821374,6,410
Телемаркет24,2022-05-13 19:22,30.367366,60.033416,Игровые консоли и аксессуары,Bigben Interactive,5530541563641669,71,7000
VAG Club,2024-05-12 22:21,30.444139,60.000501,Трансмиссии,Mopar,5530541563641669,5,130000
Babochka,2017-09-23 14:57,30.336152,59.802006,Аксессуары,Tory Burch,5530541563641669,5,30000
Пятёрочка,2016-12-16 11:26,30.33418,60.000021,Здоровое питание,Just Natural,4760360338449955,5,250
Elny,2015-08-30 08:28,30.14755,59.581967,Одежда для йоги,Athleta,4760360338449955,5,6500
Мастеровой,2024-01-04 16:58,30.314396,59.926407,Инструменты и оборудование,Worx,4760360338449955,5,15000
DreamWhite,2020-08-10 21:46,30.370335,59.938003,Головные уборы,Columbia,4276013534828258,5,2600
Barleone,2012-08-31 18:21,30.293232,59.959192,Эко-одежда,Pact,4276013534828258,24,7000
М-Стерео,2019-07-30 16:56,30.367216,59.935317,Мелкая бытовая техника,Electrolux,5185916374152797,19,19000
СтройХаус,2019-08-09 18:05,30.249159,59.987033,Фасадные материалы,Technonicol,5185916374152797,43,1450
Авто Стори,2022-10-22 17:49,30.385865,59.892103,Автомобильные масла и жидкости,Total,5185916374152797,9,2400
DreamWhite,2012-07-04 11:06,30.304204,59.960815,Эко-одежда,Stella McCartney,4279086650270682,17,25000
Дизель спот,2014-08-11 13:17,30.444036,59.950531,Подвеска и рулевое управление,Delphi,5312367734396815,9,11000
Максидом,2025-03-11 21:10,30.386777,60.004162,Лестницы и стремянки,Altrex,5312367734396815,18,13000
РеалЪ,2018-04-22 21:03,30.261479,59.973967,Сладости и десерты,Reese's,5312367734396815,37,250
Афоня,2019-06-05 21:38,30.324986,60.041133,Садовая мебель,Cane-line,5312367734396815,22,60000
Porivay Suit,2017-10-24 16:44,30.356776,59.915184,Перчатки и шарфы,Fendi,5312367734396815,5,24000
ТехноНИКОЛЬ,2012-10-16 16:44,30.526859,59.620811,Садовые постройки,Forest Garden,5479498050111914,5,43000
VAG Club,2022-09-30 10:08,30.22647,59.996275,Подвеска и рулевое управление,ACDelco,4023121736842028,25,11000
М-Стерео,2023-05-04 10:47,30.367216,59.935317,Аксессуары для мобильных устройств,Xiaomi,5458077419242633,5,4000
М.Видео,2020-06-13 22:41,30.50394,59.830831,Фото- и видеокамеры,Olympus,5458077419242633,8,40000
Авто Стори,2021-10-11 10:20,30.47283,59.885293,Системы охлаждения,Mahle,5458077419242633,53,13000
Автотрейд,2012-06-06 11:07,30.382332,59.889032,Автомобильные аксессуары,Philips,5458077419242633,5,3000
М.Видео,2015-11-19 22:33,30.437312,59.933146,Настольные компьютеры,Apple,5458077419242633,45,120000
Мастеровой,2020-03-23 14:38,30.314396,59.926407,Сантехника,Kludi,4245440203453559,26,17000
ТехноНИКОЛЬ,2016-06-12 23:50,30.432281,59.897979,Кровельные материалы,Gerard,5483326673193038,19,3200
Babochka,2021-04-23 15:09,30.329989,59.935103,Одежда для беременных,Old Navy Maternity,5483326673193038,27,3400
VAG Club,2018-09-29 13:22,30.22647,59.996275,Автоинструменты и оборудование,DeWalt,5483326673193038,11,16000
М-Стерео,2017-09-13 12:57,30.367216,59.935317,Планшеты,Alldocube,5483326673193038,12,16000
Авто Стори,2017-04-22 07:09,30.385865,59.892103,Системы охлаждения,Crown Automotive,5278835710577875,10,13000
Лента,2023-01-09 12:22,30.377945,59.979602,Продукты для вегетарианцев,Silk,5278835710577875,5,220
ТехноНИКОЛЬ,2021-03-12 08:25,30.433004,59.898045,Керамическая плитка,Serenissima,5278835710577875,5,2100
ТехноНИКОЛЬ,2021-07-15 18:57,30.526859,59.620811,Системы безопасности,Mobotix,5488376143847713,9,41000
Barleone,2023-10-30 17:37,30.293232,59.959192,Головные уборы,Zara,5488376143847713,5,1600
М-Стерео,2022-11-14 17:22,30.367216,59.935317,Сетевое оборудование,Belkin,4023120647874547,5,6000
Магнит,2021-09-29 21:02,30.338219,59.858461,Мясо и птица,Мясная лавка,4276227217995824,5,480
Максидом,2019-06-04 17:58,30.386777,60.004162,Гипсокартон и комплектующие,Gipsopolimer,4276227217995824,21,350
Петрович,2025-02-20 20:48,30.485513,59.752786,Садовая мебель,Fermob,4276227217995824,19,45000
Дон Телефон,2023-07-08 18:25,30.321769,59.927084,Мелкая бытовая техника,Bosch,4276227217995824,24,18000
VAG Club,2023-10-25 10:27,30.22647,59.996275,Шины и диски,Yokohama,4276227217995824,24,10500
Телемаркет24,2023-07-25 08:25,30.377959,59.830567,Носимая электроника,Emporio Armani,5451158350154468,35,35000
Авто Стори,2015-11-01 22:40,30.385865,59.892103,Автозвук и мультимедиа,Boss Audio,5458072043959058,5,10000
Лента,2023-08-31 18:38,30.340722,60.049161,Алкогольные напитки,Grey Goose,5458072043959058,17,3000
ТехноНИКОЛЬ,2017-09-08 16:56,30.432281,59.897979,Электрика,General Electric,5458072043959058,10,5200
Магнит,2013-06-19 10:29,30.407038,59.934885,Продукты для вегетарианцев,Califia Farms,5458072043959058,19,210
Дизель спот,2017-11-19 14:38,30.235619,59.993021,Автоинструменты и оборудование,Irwin,5483870270779061,25,8000
Дикси,2017-12-31 19:09,30.350243,59.936114,Фрукты и овощи,Sunkist,5483870270779061,5,170
Eurospar,2021-04-27 01:53,30.284029,59.944536,Продукты для диабетиков,Russell Stover,5483870270779061,5,720
Eurospar,2023-08-17 16:18,30.284023,59.944569,Супы и бульоны,Healthy Choice,5483870270779061,5,230
Магнит,2016-06-12 14:08,30.199792,59.856306,Готовые блюда,Hortex,4023113007371950,5,180
VAG Club,2014-02-04 13:27,30.22647,59.996275,Автосигнализации и охранные системы,Hornet,4023113007371950,32,21000
DNS,2025-03-05 19:33,30.347812,59.915074,Ноутбуки,Razer,4245428108651677,64,85000
РеалЪ,2016-02-02 16:48,30.269682,59.972527,Сладости и десерты,Skittles,4245428108651677,5,200
Пятёрочка,2022-09-01 20:22,30.332196,59.984938,Органические продукты,Green & Black's,4276028190829461,22,200
DNS,2020-07-17 22:42,30.47255,59.864412,Автоэлектроника,Infinity,4276028190829461,5,16000
StoreDima,2013-12-12 22:08,30.32422,59.929012,Сетевое оборудование,EnGenius,4276028190829461,41,6000
ТехноНИКОЛЬ,2014-10-02 21:05,30.526859,59.620811,Садовые постройки,Leisure Season,4279041618166922,12,43000
Телемаркет24,2025-02-21 18:53,30.377959,59.830567,Мониторы,Dell,4023119255255250,31,35000
Дикси,2019-09-16 09:07,30.315071,59.928787,Безалкогольные напитки,Nestea,4023119255255250,5,80
Elny,2019-07-24 11:48,30.359647,59.947369,Футболки и майки,Adidas,4023128462958248,40,3200
Elny,2017-09-02 11:19,30.257252,59.990067,Одежда для активного отдыха,Fjällräven,4023128462958248,5,17000
СтройХаус,2017-06-29 12:59,30.482775,60.002994,Герметики и монтажная пена,Illbruck,4023128462958248,16,390
Авто Стори,2020-04-14 18:04,30.385865,59.892103,Топливные системы,Magneti Marelli,4245433487265865,53,9000
VAG Club,2016-01-05 09:22,30.444139,60.000501,Автоинструменты и оборудование,Lisle,4023123655678886,5,7000
Магнит,2012-06-26 16:19,30.367525,59.986762,Крупы и макароны,Pasta Reggia,4023123655678886,19,140
Eurospar,2019-01-05 04:20,30.317453,59.977141,Рыба и морепродукты,Рыбный берег,5488373040123770,8,540
GATE31,2012-10-11 22:26,30.309594,59.964426,Головные уборы,H&M,4276255251671101,5,1500
Ситилинк,2017-06-15 17:39,30.20524,59.832808,Принтеры и сканеры,HP,4276255251671101,5,25000
Babochka,2017-12-25 22:08,30.329209,59.793891,Спортивные костюмы,Reebok,4276255251671101,19,8000
Elny,2014-06-11 17:44,30.412877,59.944877,Рубашки и блузы,H&M,4276255251671101,5,2000
DreamWhite,2022-03-30 21:22,30.370335,59.938003,Футболки и майки,Diesel,5183630781776972,5,3800
Дикси,2014-07-29 18:56,30.360979,59.942506,Диетические продукты,Nutrisystem,5183630781776972,51,2500
Максидом,2014-10-10 14:53,30.36521,59.811704,Вентиляция и кондиционирование,Electrolux,4627797030680006,11,95000
Магнит,2020-01-14 20:13,30.315741,59.903477,Специи и пряности,Knorr,4627797030680006,38,150
Babochka,2024-08-20 12:32,30.342662,59.945058,Головные уборы,Gucci,5248959313322946,5,15000
Barleone,2022-11-26 12:23,30.293232,59.959192,Аксессуары,Chanel,5248959313322946,19,65000
StoreDima,2018-06-29 14:40,30.32422,59.929012,Устройства виртуальной и дополненной реальности,Varjo,5479302312999034,5,80000
Porivay Suit,2017-08-08 18:55,30.348972,59.914947,Женская одежда,Uniqlo,5479302312999034,33,2700
Ашан,2021-10-08 13:35,30.350945,59.869174,Напитки,Gatorade,5479302312999034,12,100
Barleone,2013-11-06 12:33,30.293232,59.959192,Обувь,Brooks,5479302312999034,5,9000
Porivay Suit,2023-12-26 20:14,30.348972,59.914947,Одежда для беременных,JoJo Maman Bébé,5479302312999034,5,3900
Barleone,2012-07-28 18:38,30.293232,59.959192,Одежда для особых случаев,Ralph Lauren,5104101661194459,20,210000
Авто Стори,2016-09-27 09:27,30.385865,59.892103,Автомобильные масла и жидкости,Fuchs,5104101661194459,31,2900
Авто Стори,2015-07-28 09:41,30.47283,59.885293,Шины и диски,Falken,5104101661194459,5,8000
Дикси,2017-04-23 10:05,30.316516,59.932057,Алкогольные напитки,Jägermeister,5104101661194459,17,1700
М.Видео,2022-06-07 16:55,30.301431,60.004999,Планшеты,Fusion5,4279575390994906,5,14000
VAG Club,2023-09-25 19:12,30.444139,60.000501,Двигатели и компоненты,Magneti Marelli,5477799733231640,5,100000
VAG Club,2012-08-17 14:38,30.444139,60.000501,Автомобильные аксессуары,Rhino-Rack,4021781348518535,13,13000
Пятёрочка,2023-05-28 13:17,30.283451,59.925627,Чай и кофе,Brooke Bond,4021781348518535,29,140
Петрович,2021-02-03 17:31,30.417173,59.861651,Лестницы и стремянки,KRAUSE,4021781348518535,5,12000
Дон Телефон,2018-02-15 10:30,30.320953,59.927913,Офисная техника,Panasonic,4021781348518535,24,37000
PisterGSM,2020-05-27 16:08,30.36603,59.932429,Программируемые устройства,Texas Instruments,4908556795943097,6,4200
PisterGSM,2018-07-02 20:13,30.36603,59.932429,Смартфоны и мобильные телефоны,OPPO,4908556795943097,14,35000
М.Видео,2018-02-08 20:12,30.50394,59.830831,Системы безопасности,Axis Communications,5363929358936551,5,30000
Barleone,2017-01-23 15:50,30.293232,59.959192,Обувь,Vans,5363929358936551,8,6000
GATE31,2024-12-15 16:37,30.346968,59.918223,Купальники и пляжная одежда,Roxy,5363929358936551,22,4800
StoreDima,2021-11-15 11:44,30.32422,59.929012,Фото- и видеокамеры,DJI,5363929358936551,5,70000
Porivay Suit,2016-09-28 20:01,30.356776,59.915184,Одежда для особых случаев,Monique Lhuillier,4154291689333812,5,250000
Максидом,2015-06-02 22:25,30.36521,59.811704,Системы водоснабжения,Kermi,4154291689333812,36,12000
Автотрейд,2013-11-26 18:48,30.235785,59.992793,Автомобильные аксессуары,Husky Liners,4154291689333812,7,6000
Elny,2022-08-02 12:27,30.412877,59.944877,Белье и ночные сорочки,Triumph,4154291689333812,32,3500
СтройХаус,2016-07-25 13:23,30.436413,59.946501,Электрика,Makel,4154291689333812,13,2000
Авто Стори,2012-11-03 12:45,30.47283,59.885293,Автомобильные аптечки и аварийные наборы,Торнадо,5411596864563794,29,2200
ТехноНИКОЛЬ,2022-06-23 18:11,30.282577,60.073813,Вентиляция и кондиционирование,Royal Clima,5411596864563794,5,78000
ТехноНИКОЛЬ,2017-06-03 21:36,30.432281,59.897979,Системы безопасности,Panasonic,5411596864563794,24,38000
DNS,2020-03-03 14:39,30.357647,59.8778,Аксессуары для мобильных устройств,Logitech,5411596864563794,5,5500
